GalT,GalTRabA,GalTRabB,GalTRabC,GalTRabD,GalTRabE,L1,L1RabA,L1RabB,L1RabC,L1RabD,L1RabE,ProC,ProCRabA,ProCRabB,ProCRabC,ProCRabD,ProCRabE,TfR,TfRRabA,TfRRabB,TfRRabC,TfRRabD,TfRRabE,albumin,albuminRabA,albuminRabB,albuminRabC,albuminRabD,albuminRabE,chol,cholRabA,cholRabB,cholRabC,cholRabD,cholRabE,lipid,lipidRabA,lipidRabB,lipidRabC,lipidRabD,lipidRabE,membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,mvb,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,p75,p75RabA,p75RabB,p75RabC,p75RabD,p75RabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,
503.83,59581.34,565548.53,46201.46,324968.75,8505.73,826.95,188071.52,114764.76,80578.6,512184.38,108883.43,0.0,238608.76,401258.42,240753.53,4.806386677E7,1.80761558E7,826.95,177346.72,110877.02,53547.09,511288.51,151423.36,7421.92,1.294245576E7,8107446.16,6629859.86,3.041780476E7,8915654.82,520.08,315392.16,176273.46,121953.13,338132.59,53038.23,520.08,88736.32,346780.86,215502.8,288012.41,65757.18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.95,186974.66,111696.75,53423.87,510200.98,142186.43,2627.41,3240.51,2979.06,3349.27,6144.04,8792.65,0.0,0.0,0.01,0.0,0.72,0.27,
742.44,104306.47,512562.8,31085.21,331322.4,25290.33,1239.39,182198.26,118257.94,81614.71,495757.77,126241.57,0.0,4384916.67,159804.28,3228019.27,4.520297022E7,1.404493284E7,1239.39,176016.88,112571.24,52866.43,496910.6,165705.1,9726.05,1.405604003E7,7958989.31,7666997.74,2.895524088E7,8373649.27,765.81,291869.67,188323.09,111022.07,337160.06,76168.94,765.82,137635.48,283267.94,192769.13,291597.4,99273.89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1239.39,181026.26,115722.32,51169.27,495505.17,160647.25,2696.52,3572.57,2897.09,3589.88,6085.65,8360.35,0.0,0.07,0.0,0.05,0.67,0.21,
745.54,54451.71,527679.76,76650.93,312453.72,33327.99,1370.42,179486.63,110166.54,97201.91,487559.46,129524.69,0.0,151848.22,1547991.81,3577969.81,4.991594668E7,1.182688676E7,1370.42,175557.49,103733.98,65749.32,493350.91,165547.54,10907.01,1.347781986E7,7765517.85,8421760.63,2.960876338E7,7735874.55,853.83,346082.06,179125.42,141870.93,267388.65,69988.76,854.12,189986.09,248202.71,210719.27,255159.69,100387.78,0.0,0.23,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.42,177412.12,106841.17,72915.19,484833.22,161937.53,2728.14,3386.73,2930.87,3516.46,6335.54,8335.94,0.0,0.0,0.02,0.05,0.74,0.18,
819.39,58470.75,533700.77,118224.3,281254.97,12839.47,1503.01,180299.28,106758.24,90098.15,486918.22,139732.75,0.0,184763.74,148351.16,4353551.5,4.794342491E7,1.439055197E7,1503.01,176875.85,96276.11,56004.17,488746.66,185903.85,11521.87,1.350372397E7,7198557.19,8615763.63,2.893784069E7,8753235.94,933.21,349063.25,182186.66,135839.03,265193.05,72094.44,933.51,193370.66,249856.81,204760.34,251521.0,104867.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503.01,178183.89,101910.35,60257.09,484192.67,179262.63,2776.82,3410.34,2786.23,3501.8,6184.92,8622.25,0.0,0.0,0.0,0.06,0.72,0.21,
862.0,61133.88,569218.48,80517.49,280859.27,12718.52,2172.64,180910.79,106552.25,89872.59,486625.94,139175.44,0.0,250792.82,201367.47,123906.83,4.691126715E7,1.9533309E7,2153.4,177444.49,94765.71,44007.94,485658.68,201279.42,15722.86,1.345301358E7,7239859.27,7588960.96,2.841686875E7,1.030621786E7,1713.57,349323.68,182195.35,135784.75,264943.31,71348.99,2023.08,192867.13,250764.74,203913.19,251609.31,104132.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2153.71,178777.41,101513.18,60402.49,483889.94,178572.93,2838.39,3403.72,2802.38,3277.09,6067.52,8954.83,0.0,0.0,0.0,0.0,0.7,0.29,
862.0,55637.49,541553.87,113667.37,281696.93,11891.99,2174.33,177403.13,107856.32,93121.28,483635.88,141118.71,0.0,446614.33,358597.18,220654.51,3.120966771E7,3.478510955E7,2155.09,170034.19,96332.23,50963.92,441187.88,244636.34,15729.19,1.333581883E7,7289276.27,7823209.91,2.353932512E7,1.501728396E7,1714.7,336462.02,179189.16,144515.52,271983.11,71445.13,2024.22,187250.42,249526.27,207444.18,254157.79,104906.76,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.4,173990.99,103188.02,64874.12,463500.98,197600.14,2909.22,3399.44,2770.53,3418.26,4956.16,9961.15,0.0,0.01,0.01,0.0,0.47,0.52,
868.12,56338.29,601141.18,58131.62,277978.34,10852.09,2478.35,177919.68,108211.75,97316.43,482250.3,137133.14,0.0,446614.33,358597.18,220654.51,3.120966771E7,3.478510955E7,2450.17,168195.22,94072.57,65788.64,442287.63,232515.42,18154.05,1.324453196E7,7299332.54,7628712.22,2.35242145E7,1.5305698E7,2094.05,326567.23,178596.17,143753.49,279295.88,75002.83,2550.84,186575.82,246033.15,203258.55,257152.19,109739.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2450.48,173631.1,103116.67,76513.19,462993.44,186604.77,2930.41,3382.86,2802.18,3261.99,4957.99,10100.52,0.0,0.01,0.01,0.0,0.47,0.52,
888.78,43574.05,632498.73,44574.28,265740.87,18032.94,3197.83,177571.22,111516.08,101514.19,450295.55,161214.79,0.0,120091.14,118151.49,156662.7,3.817441027E7,2.845132768E7,3145.51,149831.39,97143.51,58390.75,456680.54,240117.95,24356.42,1.313108981E7,7259690.26,7714219.46,2.454885949E7,1.434242784E7,3012.19,347119.61,185176.38,139087.36,256887.75,74026.36,3859.52,207664.68,250478.09,191988.88,241920.38,109398.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3146.09,157041.9,109021.81,68241.65,451128.85,216729.35,3013.79,3362.08,2735.92,3246.35,5861.12,9300.07,0.0,0.0,0.0,0.0,0.57,0.42,
888.78,51280.09,565728.04,96332.81,271111.64,19968.29,3197.83,177470.59,106815.04,102389.37,411821.3,203615.53,0.0,224938.8,221305.7,293439.81,1.298970353E7,5.329125544E7,3145.51,146939.52,88993.17,58999.05,366060.57,341171.83,24356.42,1.294246178E7,7287653.5,7777605.1,1.701681082E7,2.197175565E7,3012.19,349143.75,175559.12,146764.3,254128.73,76701.56,3859.52,212344.08,242765.14,199356.12,237155.94,109828.84,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3146.09,155071.07,103644.9,66253.8,379175.67,298018.13,3013.79,3328.78,2796.11,3230.65,3837.72,11312.27,0.0,0.0,0.0,0.0,0.19,0.8,
1096.98,111309.96,487516.84,98800.94,275571.31,31013.63,8941.78,160819.25,118301.03,107175.15,383415.09,226657.34,0.0,287978.14,283326.86,375676.62,249901.69,6.582375996E7,9232.34,133651.87,102565.0,58918.99,311570.77,389370.68,345577.1,1.138930606E7,7953994.18,7922179.88,1.385869211E7,2.555089395E7,9952.94,284995.97,187881.92,153441.39,293400.03,75637.39,13853.56,173707.29,264016.49,202739.15,243344.91,107648.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8570.44,141900.04,113841.4,71542.99,333709.83,335744.95,4831.8,3031.19,2832.66,3238.4,3086.57,12316.73,0.0,0.0,0.0,0.01,0.0,0.98,
